account_id,country,solution,outcome,num_touches,full_path,simple_path,first_3_actions,actions_list
001E000001gWOumIAG,US,MRS,Ongoing,4,Inbound Call → Inbound Call → Email → Inbound Call,Inbound Call → Inbound Call → Email → Inbound Call,Inbound Call → Inbound Call → Email,"Inbound Call,Inbound Call,Email,Inbound Call"
001E000001gWOuuIAG,US,MRS,Ongoing,2,Inbound Call → Inbound Call,Inbound Call → Inbound Call,Inbound Call → Inbound Call,"Inbound Call,Inbound Call"
001E000001gWOvNIAW,US,MRS,Won,23,Meeting → Meeting → Email → Email → Email → Meeting → Meeting → Meeting → Email → Meeting → ... → Email → Email → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Email → Inbound Call → Follow Up → Inbound Call,Meeting → Meeting → Email → Email → Email,Meeting → Meeting → Email,"Meeting,Meeting,Email,Email,Email,Meeting,Meeting,Meeting,Email,Meeting,Follow Up,Email,Meeting,Email,Email,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Email,Inbound Call,Follow Up,Inbound Call"
001E000001gWOvVIAW,US,MRS,Won,97,Meeting → Meeting → Email → Email → Email → Email → Email → Email → Email → Meeting → ... → Email → Inbound Call → Email → Email → Inbound Call → Inbound Call → Email → Meeting → Inbound Call → Follow Up,Meeting → Meeting → Email → Email → Email,Meeting → Meeting → Email,"Meeting,Meeting,Email,Email,Email,Email,Email,Email,Email,Meeting,Email,Email,Email,Email,Meeting,Meeting,Email,Email,Meeting,Email,Email,Email,Email,Email,Email,Email,Email,Email,Email,Follow Up,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Email,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Follow Up,Demo,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Follow Up,Inbound Call,Inbound Call,Inbound Call,Follow Up,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Email,Inbound Call,Inbound Call,Email,Inbound Call,Follow Up,Review,Review,Inbound Call,Follow Up,Inbound Call,Follow Up,Inbound Call,Meeting,On-Site,Email,Email,On-Site,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Follow Up,Email,Inbound Call,Email,Email,Inbound Call,Inbound Call,Email,Meeting,Inbound Call,Follow Up"
001E000001gWOw4IAG,US,MRS,Ongoing,3,Inbound Call → Inbound Call → Email,Inbound Call → Inbound Call → Email,Inbound Call → Inbound Call → Email,"Inbound Call,Inbound Call,Email"
001E000001gWOwHIAW,US,MRS,Won,12,Review → Review → Meeting → Inbound Call → Inbound Call → Email → Email → Inbound Call → Inbound Call → Inbound Call → Inbound Call → Inbound Call,Review → Review → Meeting → Inbound Call → Inbound Call,Review → Review → Meeting,"Review,Review,Meeting,Inbound Call,Inbound Call,Email,Email,Inbound Call,Inbound Call,Inbound Call,Inbound Call,Inbound Call"
001E000001gWOwpIAG,US,MRS,Ongoing,2,Inbound Call → Inbound Call,Inbound Call → Inbound Call,Inbound Call → Inbound Call,"Inbound Call,Inbound Call"
001E000001gWOxXIAW,US,MRS,Lost,11,Email → Review → Inbound Call → Email → Email → Email → Email → Follow Up → Follow Up → Inbound Call → Email,Email → Review → Inbound Call → Email → Email,Email → Review → Inbound Call,"Email,Review,Inbound Call,Email,Email,Email,Email,Follow Up,Follow Up,Inbound Call,Email"
001E000001gWOyXIAW,US,MRS,Won,16,Follow Up → Follow Up → Inbound Call → Inbound Call → Inbound Call → Email → Email → Inbound Call → Inbound Call → Email → Inbound Call → Email → Inbound Call → Email → Follow Up → Inbound Call,Follow Up → Follow Up → Inbound Call → Inbound Call → Inbound Call,Follow Up → Follow Up → Inbound Call,"Follow Up,Follow Up,Inbound Call,Inbound Call,Inbound Call,Email,Email,Inbound Call,Inbound Call,Email,Inbound Call,Email,Inbound Call,Email,Follow Up,Inbound Call"
001E000001gWOyvIAG,US,MRS,Ongoing,2,Inbound Call → Inbound Call,Inbound Call → Inbound Call,Inbound Call → Inbound Call,"Inbound Call,Inbound Call"
